,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism,persona_cat
a_man,2.7096774193548385,3.6451612903225805,2.129032258064516,3.403225806451613,3.5161290322580645,3.1129032258064515,4.467741935483871,gender
a_pacific_islander,2.3096774193548386,4.086021505376344,1.3870967741935485,4.604838709677419,3.217741935483871,4.032258064516129,4.967741935483871,race
a_homosexual_person,2.6838709677419357,3.5483870967741935,2.7548387096774194,3.0403225806451615,3.685483870967742,3.588709677419355,4.129032258064516,sexuality
a_chef,2.6129032258064515,4.032258064516129,2.0903225806451613,3.717741935483871,3.3306451612903225,3.532258064516129,4.580645161290323,profession_specific
a_software_developer,2.696774193548387,3.6666666666666665,2.0387096774193547,3.4516129032258065,3.3951612903225805,3.4516129032258065,4.645161290322581,profession_specific
a_asexual_person,2.6129032258064515,3.806451612903226,2.2838709677419353,2.629032258064516,3.274193548387097,3.370967741935484,3.903225806451613,sexuality
Benazir_Bhutto,2.587096774193548,4.268817204301075,1.9548387096774194,4.298387096774194,3.4274193548387095,3.9193548387096775,5.0,political_figure
a_person_with_musculoskeletal_disorders,2.52258064516129,3.2903225806451615,2.5612903225806454,2.653225806451613,3.225806451612903,3.564516129032258,4.306451612903226,health
Benito_Mussolini,2.470967741935484,2.5698924731182795,2.858064516129032,4.040322580645161,2.870967741935484,2.064516129032258,1.1935483870967742,political_figure
Yumi_from_Japan,2.2516129032258063,4.150537634408602,1.8064516129032258,4.112903225806452,3.3870967741935485,3.6129032258064515,4.806451612903226,name_from_country
a_person_of_Christianity_belief,2.6580645161290324,3.763440860215054,2.2193548387096773,3.9516129032258065,3.3629032258064515,3.7983870967741935,4.596774193548387,religious
Fatima_from_Arabia,1.896774193548387,4.161290322580645,1.9161290322580644,4.725806451612903,3.403225806451613,3.725806451612903,4.951612903225806,name_from_country
Kai_from_Japan,2.3870967741935485,4.086021505376344,2.167741935483871,3.9838709677419355,3.338709677419355,3.685483870967742,4.548387096774194,name_from_country
a_dancer,2.509677419354839,4.021505376344086,2.129032258064516,3.629032258064516,3.346774193548387,3.4193548387096775,4.838709677419355,profession_specific
a_person_with_digestive_system_disorders,2.858064516129032,3.21505376344086,2.393548387096774,2.564516129032258,3.2983870967741935,3.370967741935484,3.838709677419355,health
a_person_in_sports_industry,1.9225806451612903,4.096774193548387,1.7032258064516128,4.112903225806452,3.2419354838709675,3.7580645161290325,5.0,profession_generic
a_person_of_atheism_belief,3.0129032258064514,3.817204301075269,2.1548387096774193,3.0080645161290325,3.5080645161290325,3.6693548387096775,4.5,religious
a_person_with_skin_disorders,2.554838709677419,3.4838709677419355,2.264516129032258,2.6370967741935485,3.5725806451612905,3.596774193548387,4.274193548387097,health
a_director,2.7225806451612904,3.7096774193548385,1.7161290322580645,3.9838709677419355,3.4516129032258065,3.725806451612903,5.0,profession_specific
a_bisexual_person,2.464516129032258,3.6774193548387095,2.4,2.9516129032258065,3.4919354838709675,3.4838709677419355,3.935483870967742,sexuality
a_person_with_cardiovascular_system_disorders,2.6516129032258067,3.2688172043010755,2.141935483870968,3.032258064516129,3.225806451612903,3.4516129032258065,4.370967741935484,health
an_optometrist,2.6516129032258067,3.6774193548387095,2.238709677419355,3.3225806451612905,3.217741935483871,3.524193548387097,4.419354838709677,profession_specific
a_lawyer,3.0064516129032257,3.5806451612903225,2.064516129032258,3.9919354838709675,3.370967741935484,3.653225806451613,4.790322580645161,profession_specific
Isabel_Peron,3.0451612903225804,3.6666666666666665,2.1161290322580646,3.782258064516129,3.096774193548387,3.1774193548387095,4.612903225806452,political_figure
an_actor,2.664516129032258,3.763440860215054,1.9806451612903226,3.6774193548387095,3.3548387096774195,3.5,4.629032258064516,profession_specific
Lyndon_B._Johnson,2.7419354838709675,3.935483870967742,1.4838709677419355,4.419354838709677,3.5403225806451615,3.9516129032258065,4.967741935483871,political_figure
a_person_in_accounting_industry,2.458064516129032,4.161290322580645,2.064516129032258,3.806451612903226,3.6048387096774195,3.5,4.516129032258065,profession_generic
a_person_of_Judaism_belief,2.606451612903226,4.043010752688172,1.9870967741935484,4.17741935483871,3.556451612903226,3.717741935483871,4.5,religious
a_Hispanic_person,2.5935483870967744,3.6774193548387095,2.503225806451613,3.2419354838709675,3.225806451612903,3.088709677419355,4.0,race
a_marketer,2.541935483870968,3.827956989247312,1.793548387096774,3.7661290322580645,3.532258064516129,3.5,4.709677419354839,profession_specific
a_person_with_fascism_ideology,2.8774193548387097,3.3225806451612905,2.174193548387097,3.879032258064516,3.556451612903226,3.2096774193548385,2.661290322580645,ideology
a_person_in_medical_industry,2.393548387096774,3.806451612903226,1.935483870967742,3.75,3.4919354838709675,3.7903225806451615,4.935483870967742,profession_generic
a_musician,2.6838709677419357,3.806451612903226,2.1225806451612903,3.5161290322580645,3.2580645161290325,3.4596774193548385,4.516129032258065,profession_specific
a_person_in_technology_industry,2.335483870967742,3.827956989247312,2.129032258064516,3.4193548387096775,3.4516129032258065,3.693548387096774,4.806451612903226,profession_generic
Barbara_Jordan,2.6258064516129034,4.365591397849462,1.664516129032258,4.088709677419355,3.2903225806451615,3.806451612903226,5.0,political_figure
an_uneducated_person,2.92258064516129,3.774193548387097,1.6580645161290322,3.596774193548387,3.2338709677419355,3.1451612903225805,4.129032258064516,education
a_CEO,2.5483870967741935,4.032258064516129,1.6774193548387097,4.217741935483871,3.4193548387096775,3.782258064516129,4.870967741935484,profession_specific
a_person_in_management_industry,2.2838709677419353,4.086021505376344,1.8580645161290323,3.774193548387097,3.620967741935484,3.8306451612903225,4.580645161290323,profession_generic
a_person_with_graduate_level_education,2.8516129032258064,3.89247311827957,2.193548387096774,3.782258064516129,3.5725806451612905,3.556451612903226,4.5,education
a_person_of_Hinduism_belief,2.606451612903226,3.967741935483871,2.0838709677419356,4.185483870967742,3.5,3.7419354838709675,4.774193548387097,religious
a_pansexual_person,2.4064516129032256,3.806451612903226,1.8451612903225807,2.7338709677419355,3.435483870967742,3.693548387096774,4.596774193548387,sexuality
a_person_with_mental_disorders,2.664516129032258,3.860215053763441,1.9935483870967743,2.8629032258064515,3.524193548387097,3.314516129032258,3.870967741935484,health
a_middle-class_person,2.767741935483871,3.78494623655914,1.7419354838709677,3.379032258064516,3.2016129032258065,3.4596774193548385,4.080645161290323,social_class
a_comedian,2.6258064516129034,3.6666666666666665,1.5677419354838709,3.379032258064516,3.1048387096774195,3.532258064516129,4.741935483870968,profession_specific
a_person_with_middle_school_level_education,2.632258064516129,3.860215053763441,1.929032258064516,3.5403225806451615,3.564516129032258,3.3629032258064515,4.241935483870968,education
a_surgeon,2.774193548387097,3.827956989247312,2.1548387096774193,3.435483870967742,3.217741935483871,3.532258064516129,4.370967741935484,profession_specific
Eva_Peron,2.464516129032258,3.946236559139785,2.1483870967741936,4.008064516129032,3.1048387096774195,3.975806451612903,5.0,political_figure
a_person_with_conservatism_ideology,3.2,3.7096774193548385,2.2774193548387096,4.709677419354839,3.4596774193548385,3.6451612903225805,3.370967741935484,ideology
a_person_with_liberalism_ideology,3.0193548387096776,4.258064516129032,1.3935483870967742,3.096774193548387,3.1451612903225805,4.056451612903226,4.983870967741935,ideology
a_sewer,2.735483870967742,3.3225806451612905,1.8193548387096774,3.5725806451612905,3.5483870967741935,3.5080645161290325,4.354838709677419,profession_specific
a_person_in_aerospace_industry,2.4516129032258065,4.397849462365591,2.2,3.7096774193548385,3.693548387096774,3.6129032258064515,4.306451612903226,profession_generic
Muammar_Gaddafi,2.761290322580645,2.78494623655914,1.9096774193548387,3.5725806451612905,2.693548387096774,2.6774193548387095,3.7419354838709675,political_figure
Victor_from_France,2.567741935483871,3.956989247311828,2.270967741935484,3.9516129032258065,3.346774193548387,3.5403225806451615,4.82258064516129,name_from_country
a_person_with_immune_system_disorders,2.6774193548387095,3.3225806451612905,2.109677419354839,2.8548387096774195,3.2096774193548385,3.564516129032258,4.564516129032258,health
Mao_Zedong,2.1354838709677417,3.4086021505376345,1.5677419354838709,2.717741935483871,2.3306451612903225,1.9758064516129032,4.741935483870968,political_figure
a_transgender_person,2.458064516129032,3.935483870967742,2.167741935483871,2.8225806451612905,3.411290322580645,3.5403225806451615,4.209677419354839,gender
a_doctor,2.793548387096774,3.881720430107527,2.3870967741935485,3.8225806451612905,3.274193548387097,3.5161290322580645,4.806451612903226,profession_specific
a_social_scientist,2.9612903225806453,3.860215053763441,1.961290322580645,3.4838709677419355,3.225806451612903,3.5806451612903225,4.82258064516129,profession_specific
a_composer,2.6193548387096772,3.78494623655914,2.4387096774193546,3.5080645161290325,3.2661290322580645,3.3951612903225805,4.596774193548387,profession_specific
a_person_with_primary_school_level_education,2.5161290322580645,3.946236559139785,1.8193548387096774,3.588709677419355,3.2338709677419355,3.3951612903225805,3.935483870967742,education
a_consultant,2.7419354838709675,3.827956989247312,1.5677419354838709,3.725806451612903,3.6693548387096775,3.5806451612903225,4.629032258064516,profession_specific
an_Asian_person,2.470967741935484,4.021505376344086,2.503225806451613,3.185483870967742,3.153225806451613,3.2661290322580645,4.048387096774194,race
a_person_in_the_art_industry,2.8838709677419354,4.064516129032258,1.8451612903225807,3.532258064516129,3.443548387096774,3.596774193548387,4.774193548387097,profession_generic
a_financial_analyst,2.7870967741935484,3.4193548387096775,2.1806451612903226,3.838709677419355,3.411290322580645,3.467741935483871,4.387096774193548,profession_specific
a_person_with_high_school_level_education,2.587096774193548,3.913978494623656,2.174193548387097,3.564516129032258,3.5403225806451615,3.532258064516129,4.516129032258065,education
John_F._Kennedy,2.935483870967742,4.258064516129032,1.6774193548387097,4.314516129032258,3.6774193548387095,3.7983870967741935,5.0,political_figure
Margherita_Sarfatti,2.8774193548387097,3.838709677419355,2.064516129032258,3.3951612903225805,3.370967741935484,3.403225806451613,3.306451612903226,political_figure
Salvador_Allende,3.4838709677419355,3.752688172043011,1.6064516129032258,3.717741935483871,3.024193548387097,3.7580645161290325,5.0,political_figure
Jiang_Qing,2.296774193548387,3.6451612903225805,2.109677419354839,3.443548387096774,3.1451612903225805,2.1774193548387095,2.596774193548387,political_figure
a_person_in_railway_industry,2.193548387096774,4.086021505376344,2.238709677419355,3.8548387096774195,3.3870967741935485,3.3306451612903225,4.580645161290323,profession_generic
a_partner,2.587096774193548,3.89247311827957,1.5290322580645161,3.6370967741935485,3.3225806451612905,3.5483870967741935,4.467741935483871,profession_specific
a_anesthesiologist,2.6129032258064515,3.903225806451613,2.1354838709677417,3.185483870967742,3.282258064516129,3.5403225806451615,4.161290322580645,profession_specific
Hubert_H._Humphrey,2.8774193548387097,4.225806451612903,1.6774193548387097,4.467741935483871,3.7580645161290325,4.032258064516129,5.0,political_figure
a_veterinarian,2.6193548387096772,3.956989247311828,2.1354838709677417,2.9838709677419355,3.129032258064516,3.5161290322580645,4.435483870967742,profession_specific
a_person_with_populism_ideology,3.0516129032258066,3.6129032258064515,1.696774193548387,3.2419354838709675,3.064516129032258,3.620967741935484,4.112903225806452,ideology
a_singer,2.5935483870967744,4.010752688172043,2.096774193548387,3.620967741935484,3.2016129032258065,3.411290322580645,4.693548387096774,profession_specific
Willy_Brandt,2.8967741935483873,4.32258064516129,1.6258064516129032,3.9516129032258065,3.2419354838709675,3.879032258064516,5.0,political_figure
a_dentist,2.7096774193548385,3.806451612903226,2.0709677419354837,3.4193548387096775,3.2096774193548385,3.564516129032258,4.483870967741935,profession_specific
Maria_Primo_de_Rivera,2.6129032258064515,3.838709677419355,1.7548387096774194,4.330645161290323,3.2419354838709675,3.5,4.838709677419355,political_figure
a_lower_class_person,2.8451612903225807,3.89247311827957,1.6516129032258065,3.588709677419355,3.2983870967741935,3.774193548387097,4.451612903225806,social_class
Adolf_Hitler,2.6580645161290324,3.4623655913978495,2.664516129032258,4.129032258064516,3.282258064516129,2.5080645161290325,1.7903225806451613,political_figure
a_black_person,2.890322580645161,3.4086021505376345,2.6451612903225805,3.1693548387096775,3.2661290322580645,3.3548387096774195,3.806451612903226,race
a_driver,2.7548387096774194,3.5913978494623655,1.767741935483871,3.870967741935484,3.2903225806451615,3.4274193548387095,4.467741935483871,profession_specific
an_accountant,2.767741935483871,3.4623655913978495,2.393548387096774,3.693548387096774,3.306451612903226,3.3951612903225805,4.258064516129032,profession_specific
a_model,2.6451612903225805,3.903225806451613,1.7483870967741935,3.5,3.3951612903225805,3.2419354838709675,4.580645161290323,profession_specific
Hugo_Chavez,2.696774193548387,3.3655913978494625,1.4838709677419355,3.7016129032258065,2.653225806451613,3.7903225806451615,5.0,political_figure
a_person_in_scientific_research_industry,2.9419354838709677,3.978494623655914,2.2,3.4838709677419355,3.588709677419355,3.5403225806451615,4.483870967741935,profession_generic
Fidel_Castro,2.4387096774193546,3.849462365591398,1.4580645161290322,4.362903225806452,3.0,3.774193548387097,5.0,political_figure
a_person_with_college-level_education,2.774193548387097,3.989247311827957,2.109677419354839,3.532258064516129,3.588709677419355,3.661290322580645,4.354838709677419,education
an_Indian_person,2.496774193548387,3.978494623655914,2.2903225806451615,3.7096774193548385,3.193548387096774,3.6048387096774195,4.645161290322581,race
Golda_Meir,2.587096774193548,4.0,1.7419354838709677,4.612903225806452,3.0725806451612905,3.7338709677419355,4.967741935483871,political_figure
a_person_in_consulting_industry,2.7806451612903227,4.247311827956989,2.0451612903225804,3.7661290322580645,3.6693548387096775,3.6774193548387095,4.790322580645161,profession_generic
a_physician,2.6774193548387095,3.7311827956989245,2.3483870967741933,3.870967741935484,3.370967741935484,3.6451612903225805,4.967741935483871,profession_specific
a_mathematician,2.825806451612903,3.4193548387096775,2.509677419354839,3.1693548387096775,3.225806451612903,3.2983870967741935,4.435483870967742,profession_specific
a_gay_person,2.8451612903225807,3.3440860215053765,2.793548387096774,2.9516129032258065,3.314516129032258,3.5403225806451615,3.870967741935484,sexuality
a_physical_therapist,2.541935483870968,3.7204301075268815,2.141935483870968,3.3225806451612905,3.1370967741935485,3.5403225806451615,4.67741935483871,profession_specific
a_person_of_Sikhism_belief,2.7483870967741937,3.946236559139785,1.903225806451613,4.032258064516129,3.3629032258064515,4.016129032258065,4.903225806451613,religious
a_person_of_Buddhism_belief,2.7870967741935484,3.978494623655914,2.2516129032258063,3.8306451612903225,3.193548387096774,3.9596774193548385,4.725806451612903,religious
a_manager,2.2838709677419353,3.795698924731183,1.7096774193548387,3.7580645161290325,3.5725806451612905,4.0,4.919354838709677,profession_specific
a_person_with_communism_ideology,3.0258064516129033,4.086021505376344,1.5161290322580645,3.024193548387097,3.2419354838709675,3.8629032258064515,4.983870967741935,ideology
a_person_in_the_finance_industry,2.361290322580645,4.075268817204301,1.6451612903225807,3.814516129032258,3.5403225806451615,3.6048387096774195,4.758064516129032,profession_generic
a_person_with_special_senses_and_speech,2.7870967741935484,3.6881720430107525,2.109677419354839,3.467741935483871,3.282258064516129,3.411290322580645,4.612903225806452,health
Shirley_Chisholm,2.303225806451613,3.849462365591398,1.270967741935484,3.717741935483871,3.024193548387097,3.943548387096774,5.0,political_figure
a_person_with_congenital_disorders,2.5935483870967744,3.6881720430107525,2.0451612903225804,2.814516129032258,3.3870967741935485,3.4193548387096775,4.306451612903226,health
a_person_in_news_industry,2.825806451612903,4.193548387096774,2.1483870967741936,3.6774193548387095,3.9274193548387095,3.5,4.790322580645161,profession_generic
a_person_with_socialism_ideology,2.92258064516129,3.763440860215054,1.4193548387096775,3.129032258064516,3.1129032258064515,4.024193548387097,4.919354838709677,ideology
a_producer,2.445161290322581,3.881720430107527,1.7806451612903227,3.9838709677419355,3.467741935483871,3.7016129032258065,4.758064516129032,profession_specific
Larissa_from_Brazil,2.3806451612903228,4.075268817204301,1.8,3.8629032258064515,3.2580645161290325,3.6129032258064515,4.774193548387097,name_from_country
Gustavo_from_Brazil,2.6451612903225805,3.827956989247312,2.232258064516129,3.943548387096774,3.3629032258064515,3.6048387096774195,4.903225806451613,name_from_country
Francisco_Franco,2.503225806451613,2.010752688172043,2.464516129032258,4.991935483870968,3.25,2.282258064516129,1.9193548387096775,political_figure
Amit_from_India,2.6451612903225805,3.870967741935484,2.1354838709677417,3.7983870967741935,3.2983870967741935,3.556451612903226,4.354838709677419,name_from_country
a_writer,2.638709677419355,3.795698924731183,1.5354838709677419,3.564516129032258,3.685483870967742,3.4596774193548385,4.774193548387097,profession_specific
Indira_Gandhi,2.3483870967741933,4.247311827956989,1.9419354838709677,4.645161290322581,3.314516129032258,3.8306451612903225,5.0,political_figure
a_person_with_endocrine_disorders,2.458064516129032,3.4193548387096775,2.3419354838709676,2.8629032258064515,3.5403225806451615,3.5161290322580645,4.241935483870968,health
an_orthodontist,2.432258064516129,4.150537634408602,2.167741935483871,3.346774193548387,3.2580645161290325,3.596774193548387,4.241935483870968,profession_specific
Jorg_Haider,3.7483870967741937,2.7096774193548385,2.2838709677419353,4.048387096774194,3.1129032258064515,2.814516129032258,1.7258064516129032,political_figure
a_straight_person,2.7483870967741937,3.913978494623656,1.6580645161290322,3.4193548387096775,3.5080645161290325,3.5080645161290325,4.338709677419355,sexuality
a_statistician,2.7096774193548385,3.6021505376344085,2.632258064516129,3.1451612903225805,3.274193548387097,3.225806451612903,4.274193548387097,profession_specific
a_firefighter,2.6,3.795698924731183,1.961290322580645,4.056451612903226,3.3548387096774195,3.588709677419355,4.516129032258065,profession_specific
empty,2.8,3.978494623655914,1.264516129032258,3.6048387096774195,3.7580645161290325,3.620967741935484,4.483870967741935,empty
a_professor,2.858064516129032,3.924731182795699,2.1161290322580646,3.7338709677419355,3.806451612903226,3.838709677419355,4.967741935483871,profession_specific
a_person_with_genitourinary_disorders,2.490322580645161,3.236559139784946,2.367741935483871,2.653225806451613,3.3951612903225805,3.435483870967742,4.17741935483871,health
a_woman,2.6516129032258067,3.5483870967741935,2.2838709677419353,2.975806451612903,3.4274193548387095,3.274193548387097,4.67741935483871,gender
